frame,tipo_objeto,conf,track_id,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula
58,bus,0.923,1,1324,193,1579,408,0.0,0.0,0.0,0.0,0.0,
58,car,0.426,5,1222,317,1260,342,0.0,0.0,0.0,0.0,0.0,
59,bus,0.918,1,1324,194,1574,406,0.0,0.0,0.0,0.0,0.0,
59,car,0.365,5,1222,317,1260,342,0.0,0.0,0.0,0.0,0.0,
60,bus,0.903,1,1322,195,1570,406,0.0,0.0,0.0,0.0,0.0,
60,car,0.388,5,1223,317,1259,342,0.0,0.0,0.0,0.0,0.0,
61,bus,0.913,1,1322,197,1566,406,0.0,0.0,0.0,0.0,0.0,
61,car,0.447,5,1223,318,1259,342,0.0,0.0,0.0,0.0,0.0,
62,bus,0.914,1,1321,198,1563,405,0.0,0.0,0.0,0.0,0.0,
62,car,0.421,5,1223,319,1258,342,0.0,0.0,0.0,0.0,0.0,
63,bus,0.903,1,1320,198,1559,404,0.0,0.0,0.0,0.0,0.0,
63,car,0.394,5,1223,319,1258,342,0.0,0.0,0.0,0.0,0.0,
63,car,0.538,2,1290,320,1325,355,0.0,0.0,0.0,0.0,0.0,
64,bus,0.892,1,1320,197,1556,403,0.0,0.0,0.0,0.0,0.0,
64,car,0.424,5,1223,319,1258,342,0.0,0.0,0.0,0.0,0.0,
64,car,0.48,2,1290,320,1325,355,0.0,0.0,0.0,0.0,0.0,
65,bus,0.902,1,1320,199,1551,402,0.0,0.0,0.0,0.0,0.0,
65,car,0.441,5,1223,319,1258,342,0.0,0.0,0.0,0.0,0.0,
65,car,0.475,2,1290,320,1325,355,0.0,0.0,0.0,0.0,0.0,
66,bus,0.911,1,1319,201,1546,401,0.0,0.0,0.0,0.0,0.0,
66,car,0.441,5,1223,319,1258,341,0.0,0.0,0.0,0.0,0.0,
66,car,0.465,2,1290,320,1325,355,0.0,0.0,0.0,0.0,0.0,
67,bus,0.908,1,1320,203,1541,398,0.0,0.0,0.0,0.0,0.0,
67,car,0.384,5,1223,319,1258,341,0.0,0.0,0.0,0.0,0.0,
67,car,0.477,2,1290,319,1325,355,0.0,0.0,0.0,0.0,0.0,
68,bus,0.907,1,1319,204,1537,398,0.0,0.0,0.0,0.0,0.0,
68,car,0.374,5,1223,319,1258,341,0.0,0.0,0.0,0.0,0.0,
68,car,0.465,2,1291,319,1325,355,0.0,0.0,0.0,0.0,0.0,
69,bus,0.909,1,1319,205,1534,397,0.0,0.0,0.0,0.0,0.0,
69,car,0.421,2,1291,320,1324,354,0.0,0.0,0.0,0.0,0.0,
70,bus,0.908,1,1320,206,1530,395,0.0,0.0,0.0,0.0,0.0,
70,car,0.442,2,1290,320,1323,354,0.0,0.0,0.0,0.0,0.0,
71,bus,0.908,1,1319,207,1527,394,0.0,0.0,0.0,0.0,0.0,
71,car,0.473,2,1289,320,1322,354,0.0,0.0,0.0,0.0,0.0,
72,bus,0.917,1,1318,208,1524,394,0.0,0.0,0.0,0.0,0.0,
72,car,0.559,2,1288,319,1322,354,0.0,0.0,0.0,0.0,0.0,
73,bus,0.917,1,1319,209,1522,393,0.0,0.0,0.0,0.0,0.0,
73,car,0.617,2,1287,319,1322,354,0.0,0.0,0.0,0.0,0.0,
74,bus,0.918,1,1317,210,1519,393,0.0,0.0,0.0,0.0,0.0,
74,car,0.619,2,1286,319,1322,354,0.0,0.0,0.0,0.0,0.0,
75,bus,0.92,1,1316,210,1517,393,0.0,0.0,0.0,0.0,0.0,
75,car,0.628,2,1285,318,1321,354,0.0,0.0,0.0,0.0,0.0,
76,bus,0.913,1,1315,211,1515,392,0.0,0.0,0.0,0.0,0.0,
76,car,0.634,2,1284,317,1321,354,0.0,0.0,0.0,0.0,0.0,
77,bus,0.9,1,1315,212,1512,392,0.0,0.0,0.0,0.0,0.0,
77,car,0.629,2,1283,316,1320,354,0.0,0.0,0.0,0.0,0.0,
78,bus,0.906,1,1313,212,1508,391,0.0,0.0,0.0,0.0,0.0,
78,car,0.638,2,1283,316,1320,353,0.0,0.0,0.0,0.0,0.0,
79,bus,0.888,1,1312,213,1505,390,0.0,0.0,0.0,0.0,0.0,
79,car,0.607,2,1284,315,1320,352,0.0,0.0,0.0,0.0,0.0,
80,bus,0.89,1,1313,214,1504,389,0.0,0.0,0.0,0.0,0.0,
80,car,0.603,2,1283,315,1320,353,0.0,0.0,0.0,0.0,0.0,
81,bus,0.87,1,1313,215,1501,388,0.0,0.0,0.0,0.0,0.0,
81,car,0.642,2,1283,315,1319,353,0.0,0.0,0.0,0.0,0.0,
82,bus,0.875,1,1312,215,1500,387,0.0,0.0,0.0,0.0,0.0,
